treatment,participant,session,earnings,lospade_max,max1,choice1,max2,choice2,max3,choice3,max4,choice4,max5,choice5,max6,choice6,max7,choice7,experience,exp_group,gender,math,school,is_econ,native,nationality,age
"Pre+Amount",39,21,6.05,0,1,"Qheart",1,"5spade",0,"4spade",0,"Jclub",0,"Aspade",1,"3spade",1,"2spade",2,"Some","Male","Math","PHA",0,"Native","UGA",24
"Pre+Amount",40,21,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",2,"Some","Male","Decline","HSC",0,"Native","GBR",21
"Pre+Amount",54,31,6.35,.5,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",0,"Aspade",1,"3spade",1,"2spade",22,"Much","Male","Decline","BIO",0,"NonNative","NGA",24
"Pre+Amount",55,31,5.55,.5,0,"4club",1,"5spade",1,"Jdiamond",1,"Kdiamond",0,"Aspade",1,"3spade",1,"2spade",14,"Much","Male","NonMath","ENV",0,"Native","GBR",21
"Pre+Amount",56,31,7,.5,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",18,"Much","Female","Math","ENV",0,"Native","GBR",21
"Pre+Amount",57,31,6.25,0,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",0,"Aspade",1,"3spade",1,"2spade",19,"Much","Female","Math","ECO",1,"NonNative","JPN",37
"Pre+Amount",58,31,7,.5,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",12,"Much","Male","Math","ENV",0,"NonNative","VNM",20
"Pre+Amount",59,31,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",21,"Much","Male","NonMath","PPL",0,"NonNative","HUN",20
"Pre+Amount",60,31,6.25,0,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",0,"Aspade",1,"3spade",1,"2spade",24,"Much","Female","NonMath","LCS",0,"Native","GBR",21
"Pre+Amount",61,31,7,.5,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",14,"Much","Female","NonMath","ENV",0,"Native","MYS",21
"Pre+Amount",62,31,6.25,0,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",0,"Aspade",1,"3spade",1,"2spade",31,"Much","Female","NonMath","PHA",0,"Native","GBR",23
"Pre+Amount",63,31,6.2,.5,0,"4club",1,"5spade",0,"4spade",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",15,"Much","Male","Math","MED",0,"Native","MUS",24
"Pre+Amount",64,31,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",14,"Much","Male","Math","CMP",0,"Native","PAK",23
"Pre+Amount",65,31,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",14,"Much","Male","Math","CHE",0,"NonNative","CZE",21
"Pre+Amount",66,31,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",19,"Much","Male","Math","CMP",0,"NonNative","PAK",21
"Pre+Amount",67,31,7,.5,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",13,"Much","Male","Math","ENV",0,"Native","GBR",21
"Pre+Amount",81,41,5.85,1,1,"Qheart",1,"5spade",1,"Jdiamond",0,"6club",1,"10diamond",0,"2club",1,"2spade",16,"Much","Male","Math","CMP",0,"Native","GBR",21
"Pre+Amount",82,41,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",10,"Much","Female","Math","EDU",0,"Native","GBR",22
"Pre+Amount",83,41,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",26,"Much","Female","NonMath","ENV",0,"Native","GBR",30
"Pre+Amount",84,41,6.25,0,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",0,"Aspade",1,"3spade",1,"2spade",19,"Much","Female","NonMath","PPL",0,"Native","GBR",21
"Pre+Amount",85,41,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",14,"Much","Female","Decline","ECO",1,"NonNative","VNM",22
"Pre+Amount",86,41,6.25,0,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",0,"Aspade",1,"3spade",1,"2spade",10,"Much","Male","Math","ENV",0,"NonNative","VNM",38
"Pre+Amount",87,41,5.9,0,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",0,"Aspade",0,"4diamond",1,"2spade",11,"Much","Female","Math","NBS",0,"NonNative","MYS",21
