treatment,session,subject,period,board,expect,box,result,boardtype
independent,140311_1047,5,7,yellow,2,68,hit,high
independent,140311_1047,6,7,yellow,4,68,hit,high
independent,140311_1047,7,7,yellow,5,68,hit,high
independent,140311_1047,8,7,yellow,2,68,hit,high
independent,140311_1047,2,8,yellow,6,84,hit,high
independent,140311_1047,3,8,yellow,3,84,hit,high
independent,140311_1047,4,8,yellow,1,84,hit,high
independent,140311_1047,5,8,yellow,3,84,hit,high
independent,140311_1047,6,8,yellow,4,84,hit,high
independent,140311_1047,7,8,yellow,1,84,hit,high
independent,140311_1047,8,8,yellow,2,84,hit,high
independent,140311_1047,2,9,blue,5,95,miss,high
independent,140311_1047,3,9,blue,3,95,miss,high
independent,140311_1047,4,9,blue,1,95,miss,high
independent,140311_1047,5,9,blue,1,95,miss,high
independent,140311_1047,6,9,blue,5,95,miss,high
independent,140311_1047,7,9,blue,9,95,miss,high
independent,140311_1047,8,9,blue,2,95,miss,high
independent,140311_1047,2,10,blue,3,50,miss,high
independent,140311_1047,3,10,blue,3,50,miss,high
independent,140311_1047,4,10,blue,1,50,miss,high
independent,140311_1047,5,10,blue,1,50,miss,high
independent,140311_1047,6,10,blue,4,50,miss,high
independent,140311_1047,7,10,blue,7,50,miss,high
independent,140311_1047,8,10,blue,1,50,miss,high
independent,140311_1256,2,1,blue,4,54,hit,high
independent,140311_1256,3,1,blue,9,54,hit,high
independent,140311_1256,4,1,blue,3,54,hit,high
independent,140311_1256,5,1,blue,4,54,hit,high
independent,140311_1256,6,1,blue,2,54,hit,high
independent,140311_1256,7,1,blue,6,54,hit,high
independent,140311_1256,8,1,blue,3,54,hit,high
independent,140311_1256,9,1,blue,4,54,hit,high
independent,140311_1256,2,2,blue,2,72,miss,high
independent,140311_1256,3,2,blue,8,72,miss,high
independent,140311_1256,4,2,blue,2,72,miss,high
independent,140311_1256,5,2,blue,3,72,miss,high
independent,140311_1256,6,2,blue,2,72,miss,high
independent,140311_1256,7,2,blue,4,72,miss,high
independent,140311_1256,8,2,blue,2,72,miss,high
independent,140311_1256,9,2,blue,1,72,miss,high
independent,140311_1256,2,3,yellow,2,33,miss,high
independent,140311_1256,3,3,yellow,7,33,miss,high
independent,140311_1256,4,3,yellow,7,33,miss,high
independent,140311_1256,5,3,yellow,5,33,miss,high
independent,140311_1256,6,3,yellow,2,33,miss,high
independent,140311_1256,7,3,yellow,5,33,miss,high
independent,140311_1256,8,3,yellow,2,33,miss,high
independent,140311_1256,9,3,yellow,2,33,miss,high
independent,140311_1256,2,4,yellow,2,97,miss,high
independent,140311_1256,3,4,yellow,5,97,miss,high
